Source,Type,Target,Weight
careless,undirected,wat,79
careless,undirected,saveall,69
saveall,undirected,wat,3
phebe,undirected,wat,32
saleware,undirected,wat,16
prentice,undirected,wat,2
phebe,undirected,thrivewell,1
lady,undirected,thrivewell,64
lady,undirected,saveall,2
saveall,undirected,thrivewell,7
careless,undirected,thrivewell,41
careless,undirected,lady,129
alicia,undirected,lady,38
lady,undirected,prentice,1
alicia,undirected,prentice,3
alicia,undirected,bellamie,107
alicia,undirected,saleware,99
bellamie,undirected,saleware,31
careless,undirected,saleware,23
careless,undirected,closet,53
closet,undirected,lady,25
crostill,undirected,saveall,17
lady,undirected,saleware,26
bellamie,undirected,lady,1
lady,undirected,phebe,5
phebe,undirected,saleware,2
crostill,undirected,lovely,43
bellamie,undirected,lovely,8
bellamie,undirected,crostill,10
crostill,undirected,saleware,1
careless,undirected,lovely,16
lovely,undirected,saleware,28
careless,undirected,crostill,40
bellamie,undirected,careless,7
closet,undirected,phebe,1
saleware,undirected,thrivewell,2
bellamy_sr,undirected,lovely,33
alicia,undirected,bellamy_sr,1
alicia,undirected,lovely,24
lovely,undirected,page,1
alicia,undirected,page,1
lovely,undirected,saveall,4
lady,undirected,wat,2
closet,undirected,thrivewell,1
thrivewell,undirected,wat,1
servant,undirected,thrivewell,3
lady,undirected,servant,1
fitzgerrard,undirected,lady,4
crostill,undirected,thrivewell,8
careless,undirected,fitzgerrard,1
crostill,undirected,phebe,1
lady,undirected,lovely,6
lovely,undirected,thrivewell,2
bellamy_sr,undirected,lady,2
fitzgerrard,undirected,lovely,9
bellamy_sr,undirected,saleware,2
bellamie,undirected,bellamy_sr,1
crostill,undirected,wat,1
bellamy_sr,undirected,careless,1
bellamy_sr,undirected,saveall,1
closet,undirected,saveall,1
