,Id,Degree,Weighted Degree,eigencentrality,betweenesscentrality,WD_rank,EC_rank,degree_rank,BC_rank,metrics_rank
0,careless,11,459,0.911251,6.995635000000001,1,2,2,4,2
1,wat,8,136,0.6839149999999999,3.967857,7,8,4,7,6
2,saveall,8,104,0.7175699999999999,2.286111,10,6,4,8,7
3,phebe,6,42,0.534125,0.825,12,11,6,12,10
4,saleware,10,230,0.8641190000000001,4.897222,4,3,3,6,4
5,prentice,3,6,0.260905,0.44444399999999995,15,15,8,13,12
6,thrivewell,10,130,0.8192370000000001,7.312302000000001,8,5,3,3,4
7,lady,14,306,1.0,27.215079,2,1,1,1,1
8,alicia,7,273,0.525409,6.033333,3,12,5,5,6
9,bellamie,7,165,0.649586,0.858333,6,10,5,11,8
10,closet,5,81,0.467958,0.366667,11,13,7,14,11
11,crostill,8,121,0.70957,2.187302,9,7,4,9,7
12,lovely,11,174,0.863705,14.734523999999999,5,4,2,2,3
13,bellamy_sr,7,41,0.650518,0.8761899999999999,13,9,5,10,9
14,page,2,2,0.164189,0.0,17,17,9,15,14
15,servant,2,4,0.21414699999999998,0.0,16,16,9,15,14
16,fitzgerrard,3,14,0.326287,0.0,14,14,8,15,12
