,character,lines,words,Degree,Weighted Degree,eigencentrality,betweenesscentrality,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,alicia,138,2998,7,273,0.525409,6.033333,3,4,5,3,5,12,3,6
1,bellamie,83,1438,7,165,0.649586,0.858333,6,7,5,6,11,10,6,8
2,bellamy_sr,21,573,7,41,0.650518,0.8761899999999999,13,12,5,13,10,9,12,9
3,careless,232,5955,11,459,0.911251,6.995635000000001,1,1,2,1,4,2,1,2
4,closet,42,725,5,81,0.467958,0.366667,11,11,7,11,14,13,11,11
5,crostill,61,1113,8,121,0.70957,2.187302,9,10,4,9,9,7,9,7
6,fitzgerrard,7,168,3,14,0.326287,0.0,14,14,8,14,15,14,14,12
7,lady,156,3859,14,306,1.0,27.215079,2,2,1,2,1,1,2,1
8,lovely,88,1352,11,174,0.863705,14.734523999999999,5,8,2,5,2,4,6,3
9,page,1,12,2,2,0.164189,0.0,17,17,9,17,15,17,17,14
10,phebe,22,362,6,42,0.534125,0.825,12,13,6,12,12,11,12,10
11,prentice,3,43,3,6,0.260905,0.44444399999999995,15,15,8,15,13,15,15,12
12,saleware,119,3398,10,230,0.8641190000000001,4.897222,4,3,3,4,6,3,3,4
13,saveall,53,1547,8,104,0.7175699999999999,2.286111,10,6,4,10,8,6,8,7
14,servant,2,27,2,4,0.21414699999999998,0.0,16,16,9,16,15,16,16,14
15,thrivewell,67,1156,10,130,0.8192370000000001,7.312302000000001,8,9,3,8,3,5,8,4
16,wat,68,1903,8,136,0.6839149999999999,3.967857,7,5,4,7,7,8,6,6
