Source,Type,Target,Weight
tapwell,undirected,wellborn,24
froth,undirected,tapwell,14
froth,undirected,wellborn,6
alworth,undirected,wellborn,27
amble,undirected,order,10
amble,undirected,furnace,21
furnace,undirected,order,22
furnace,undirected,watchall,5
order,undirected,watchall,3
alworth,undirected,amble,2
alworth,undirected,order,1
lady,undirected,order,5
furnace,undirected,lady,9
alworth,undirected,lady,18
greedy,undirected,overreach,42
order,undirected,overreach,1
greedy,undirected,order,2
furnace,undirected,greedy,11
furnace,undirected,overreach,2
marall,undirected,overreach,92
greedy,undirected,marall,14
overreach,undirected,wellborn,42
greedy,undirected,watchall,1
furnace,undirected,wellborn,9
wellborn,undirected,woman,1
chambermaid,undirected,woman,12
watchall,undirected,woman,1
amble,undirected,watchall,1
amble,undirected,wellborn,1
order,undirected,wellborn,8
chambermaid,undirected,order,2
chambermaid,undirected,wellborn,1
lady,undirected,wellborn,25
marall,undirected,wellborn,81
alworth,undirected,chambermaid,1
alworth,undirected,woman,2
chambermaid,undirected,furnace,1
alworth,undirected,furnace,2
order,undirected,woman,1
furnace,undirected,woman,1
alworth,undirected,marall,3
watchall,undirected,wellborn,2
marall,undirected,watchall,1
amble,undirected,marall,1
furnace,undirected,marall,3
marall,undirected,order,2
marall,undirected,woman,2
chambermaid,undirected,marall,1
lady,undirected,woman,2
lady,undirected,marall,10
alworth,undirected,lovell,28
margaret,undirected,overreach,31
lovell,undirected,overreach,53
alworth,undirected,overreach,15
greedy,undirected,lovell,7
lovell,undirected,margaret,14
greedy,undirected,lady,4
lady,undirected,lovell,37
lady,undirected,overreach,20
lovell,undirected,wellborn,8
lady,undirected,margaret,1
lovell,undirected,marall,1
alworth,undirected,greedy,2
amble,undirected,lady,1
amble,undirected,woman,1
greedy,undirected,wellborn,6
greedy,undirected,tapwell,3
froth,undirected,greedy,2
1_creditor,undirected,wellborn,4
2_creditor,undirected,wellborn,4
alworth,undirected,margaret,13
overreach,undirected,will-do,9
wellborn,undirected,will-do,2
margaret,undirected,will-do,1
