Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,triangles,eigencentrality
tapwell,,,3,41,3,0.529412,0.574074,0,0.069752,0.069752,1,3,0.203298
wellborn,,,17,251,2,0.947368,0.972222,60.866598,0.347203,0.347203,0.382353,52,1
froth,,,3,22,3,0.529412,0.574074,0,0.069752,0.069752,1,3,0.203298
alworth,,,12,114,2,0.75,0.833333,7.034507,0.312756,0.312757,0.681818,45,0.897508
amble,,,8,38,2,0.642857,0.722222,0.372671,0.237515,0.237515,0.928571,26,0.679492
order,,,11,57,2,0.72,0.805556,2.16853,0.303308,0.303308,0.781818,43,0.868973
furnace,,,11,86,2,0.72,0.805556,2.16853,0.303308,0.303308,0.781818,43,0.868973
watchall,,,7,14,3,0.6,0.685185,0.285714,0.206538,0.206539,0.904762,19,0.59127
lady,,,11,132,2,0.72,0.805556,4.96784,0.295588,0.295588,0.727273,40,0.84849
greedy,,,11,94,2,0.72,0.805556,10.215183,0.271589,0.271588,0.6,33,0.781774
overreach,,,10,307,2,0.692308,0.777778,5.761836,0.257012,0.257012,0.688889,31,0.739708
marall,,,12,211,2,0.75,0.833333,3.712008,0.3212,0.3212,0.727273,48,0.92077
woman,,,9,23,2,0.666667,0.75,0.906004,0.254684,0.254684,0.861111,31,0.72851
chambermaid,,,6,18,2,0.6,0.666667,0,0.186648,0.186648,1,15,0.534028
lovell,,,7,148,2,0.62069,0.694444,1.674879,0.194513,0.194513,0.857143,18,0.560231
margaret,,,5,60,3,0.5,0.592593,1,0.114747,0.114747,0.7,7,0.331077
1_creditor,,,1,4,3,0.5,0.518519,0,0.035173,0.035173,0,0,0.102109
2_creditor,,,1,4,3,0.5,0.518519,0,0.035173,0.035173,0,0,0.102109
will-do,,,3,12,2,0.545455,0.583333,0.8657,0.072833,0.072834,0.666667,2,0.211603
