,character,lines,words,Degree,Weighted Degree,eigencentrality,betweenesscentrality,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,scrivener,1,164,2,2,0.224594,0.0,24,17,12,25,20,20,20,19
1,witgood,176,3746,18,345,0.899214,100.452381,1,1,2,1,3,2,1,2
2,widow,1,11,1,2,0.081775,0.0,24,32,13,25,20,27,28,21
3,citizen,1,48,2,2,0.224594,0.0,24,23,12,25,20,20,23,19
4,hoard,158,2851,27,314,1.0,370.752381,2,3,1,2,1,1,2,1
5,arthur,1,5,1,2,0.11935,0.0,24,33,13,25,20,25,28,20
6,barber,2,5,1,4,0.11935,0.0,23,33,13,24,20,25,28,20
7,curti,76,1650,10,152,0.612201,23.12619,4,4,4,4,4,4,4,4
8,gulf,7,92,4,13,0.260548,0.2,18,20,10,19,19,17,19,16
9,taylor,3,12,1,6,0.11935,0.0,22,31,13,23,20,25,26,20
10,george,9,77,2,18,0.11582,1.0,16,21,12,17,15,26,18,17
11,kix,2,24,1,4,0.11935,0.0,23,27,13,24,20,25,25,20
12,lucre,145,3136,14,288,0.692681,121.709524,3,2,3,3,2,3,2,2
13,lancelot,26,486,6,52,0.361054,19.085714000000007,10,8,8,10,7,11,9,9
14,host,75,1238,7,150,0.531578,4.466667,5,5,7,5,12,6,5,7
15,wife,8,215,3,16,0.229309,0.0,17,15,11,18,20,18,16,16
16,creditor_3,17,241,4,34,0.337054,0.0,12,14,10,12,20,13,13,13
17,perfumer,3,12,1,6,0.11935,0.0,22,31,13,23,20,25,26,20
18,servant,4,48,2,8,0.181603,0.0,21,23,12,22,20,22,22,19
19,creditor_1,64,1189,8,127,0.56557,8.392857000000001,6,6,6,6,10,5,6,6
20,lamprey,35,341,9,70,0.526335,20.333333,8,11,5,8,5,7,9,6
21,drawer,11,122,5,20,0.391771,0.666667,15,18,9,16,16,10,16,12
22,vintner,4,41,3,8,0.226834,1.05,21,25,11,22,14,19,23,16
23,moneylove,14,284,2,28,0.161639,2.05,14,12,12,14,13,23,13,15
24,dampit,59,1152,7,118,0.417839,19.219048,7,7,7,7,6,8,7,7
25,lady,3,17,2,6,0.190755,0.0,22,28,12,23,20,21,25,19
26,onesiphorus,11,106,2,22,0.190755,0.0,15,19,12,15,20,21,17,17
27,boy,8,51,6,16,0.335994,9.411905,17,22,8,18,9,14,19,12
28,limber,5,31,1,10,0.11935,0.0,20,26,13,21,20,25,23,19
29,servant_2,1,13,1,2,0.081775,0.0,24,30,13,25,20,27,27,21
30,creditor_2,28,388,5,56,0.401182,0.25,9,9,9,9,18,9,9,11
31,audrey,24,262,3,47,0.132865,0.5,11,13,11,11,17,24,12,15
32,huntsman,2,15,1,4,0.11935,0.0,23,29,13,24,20,25,26,20
33,niece,6,167,4,12,0.285006,9.85,19,16,10,20,8,15,17,13
34,fawl,2,15,1,4,0.11935,0.0,23,29,13,24,20,25,26,20
35,spichcock,5,43,3,10,0.263378,0.0,20,24,11,21,20,16,22,17
36,sam,16,380,6,32,0.358208,6.483333,13,10,8,13,11,12,11,11
